From	Uniprot_Entry	Reviewed	Seq_ID	Protein_names	Gene_Names	Organism	Length	Taxonomic_lineage	Active_site	Binding_site	EC_number	Function	Protein_families	RefSeq	AlphaFoldDB	PDB	EMDB
B0SQV8	B0SQV8	unreviewed	B0SQV8_LEPBP	Peptidase S54 rhomboid domain-containing protein	LEPBI_I3290	Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris)	220	cellular organisms (no rank), Bacteria (superkingdom), Spirochaetota (phylum), Spirochaetia (class), Leptospirales (order), Leptospiraceae (family), Leptospira (genus), Leptospira biflexa (species), Leptospira biflexa serovar Patoc (no rank)					Peptidase S54 family	WP_012390211.1;	B0SQV8;		
E6M784	E6M784		E6M784_STALU														
W8VQQ8	W8VQQ8	unreviewed	W8VQQ8_9FLAO	Rhomboid family protein	NMS_1825	Nonlabens marinus S1-08	231	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Nonlabens (genus), Nonlabens marinus (species)					Peptidase S54 family	WP_041496363.1;	W8VQQ8;		
A6GA97	A6GA97	unreviewed	A6GA97_9BACT	Rhomboid family protein	PPSIR1_26658	Plesiocystis pacifica SIR-1	339	cellular organisms (no rank), Bacteria (superkingdom), Myxococcota (phylum), Polyangia (subclass), Nannocystales (order), Nannocystaceae (family), Plesiocystis (genus), Plesiocystis pacifica (species)						WP_006973639.1;	A6GA97;		
A0A0B5AID0	A0A0B5AID0	unreviewed	A0A0B5AID0_9BACL	Peptidase S54 rhomboid domain-containing protein	JMA_08230	Jeotgalibacillus malaysiensis	198	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Planococcaceae (family), Jeotgalibacillus (genus)					Peptidase S54 family		A0A0B5AID0;		
K1WAU4	K1WAU4	unreviewed	K1WAU4_MARBU	Peptidase S54 rhomboid domain-containing protein	MBM_07635	Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)	332	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Drepanopezizaceae (family), Drepanopeziza (genus), Drepanopeziza brunnea (species), Drepanopeziza brunnea f. sp. 'multigermtubi' (no rank)					Peptidase S54 family	XP_007295524.1;	K1WAU4;		
A0A0A1MUB9	A0A0A1MUB9	unreviewed	A0A0A1MUB9_9BACI	Rhomboid protease GluP	gluP_1 BN997_02389	Oceanobacillus oncorhynchi	261	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Oceanobacillus (genus)					Peptidase S54 family	WP_042532408.1;	A0A0A1MUB9;		
A0A0G0WML1	A0A0G0WML1	unreviewed	A0A0G0WML1_9BACT	Peptidase S54 rhomboid domain-containing protein	UU67_C0010G0011	Candidatus Daviesbacteria bacterium GW2011_GWB1_41_5	236	cellular organisms (no rank), Bacteria (superkingdom), Bacteria incertae sedis (no rank), Bacteria candidate phyla (clade), Patescibacteria group (clade), Microgenomates group (clade), Candidatus Daviesbacteria (phylum)					Peptidase S54 family		A0A0G0WML1;		
A0A0L0NHY4	A0A0L0NHY4	unreviewed	A0A0L0NHY4_TOLOC	Rhomboid-type serine protease (EC 3.4.21.105)	TOPH_01811	Tolypocladium ophioglossoides (strain CBS 100239) (Golden-thread cordyceps) (Elaphocordyceps ophioglossoides)	526	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Hypocreales (order), Ophiocordycipitaceae (family), Tolypocladium (genus), Tolypocladium ophioglossoides (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A0L0NHY4;		
F7DW85	F7DW85	unreviewed	F7DW85_HORSE	Rhomboid-related protein 2 (EC 3.4.21.105)	RHBDL2	Equus caballus (Horse)	302	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Perissodactyla (order), Equidae (family), Equus (genus)	"ACT_SITE 186; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 249; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105	FUNCTION: Involved in regulated intramembrane proteolysis and the subsequent release of functional polypeptides from their membrane anchors. {ECO:0000256|PIRNR:PIRNR037470}.	Peptidase S54 family		F7DW85;		
R3X0R7	R3X0R7	unreviewed	R3X0R7_9ENTE	Peptidase S54 rhomboid domain-containing protein	UC3_00618	Enterococcus phoeniculicola ATCC BAA-412	233	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Enterococcaceae (family), Enterococcus (genus), Enterococcus phoeniculicola (species)					Peptidase S54 family	WP_010767291.1;	R3X0R7;		
A9D9U2	A9D9U2	unreviewed	A9D9U2_HOEPD	Putative membrane protein	HPDFL43_08549	Hoeflea phototrophica (strain DSM 17068 / NCIMB 14078 / DFL-43)	231	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Hoeflea (genus), Hoeflea phototrophica (species)						WP_007197489.1;	A9D9U2;		
A9SF81	A9SF81		A9SF81_PHYPA														
C5R8K7	C5R8K7	unreviewed	C5R8K7_WEIPA	Peptidase, S54 family (EC 3.4.21.-)	HMPREF0877_0302	Weissella paramesenteroides ATCC 33313	225	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Weissella (genus), Weissella paramesenteroides (species)			3.4.21.-			WP_002827810.1;	C5R8K7;		
A0A0M2RAW0	A0A0M2RAW0	unreviewed	A0A0M2RAW0_9PROT	Peptidase S54 rhomboid domain-containing protein	WH95_07705	Kiloniella litopenaei	243	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Kiloniellaceae (family), Kiloniella (genus)							A0A0M2RAW0;		
A0A023B0P3	A0A023B0P3	unreviewed	A0A023B0P3_GRENI	Rhomboid-like protease (EC 3.4.21.105)	GNI_137850	Gregarina niphandrodes (Septate eugregarine)	448	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Gregarinasina (subclass), Eugregarinorida (order), Gregarinidae (family), Gregarina (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_011132472.1;	A0A023B0P3;		
A0A0D2ZR62	A0A0D2ZR62	unreviewed	A0A0D2ZR62_BRAOL	RHOMBOID-like protein (EC 3.4.21.105)		Brassica oleracea var. oleracea	319	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Brassiceae (tribe), Brassica (genus), Brassica oleracea (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_013613901.1;	A0A0D2ZR62;		
A0A0F4QK73	A0A0F4QK73		A0A0F4QK73_9GAMM														
B9HDD8	B9HDD8	unreviewed	B9HDD8_POPTR	Peptidase S54 rhomboid domain-containing protein	POPTR_006G227300	Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)	331	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Malpighiales (order), Salicaceae (family), Saliceae (tribe), Populus (genus)					Peptidase S54 family	XP_002309495.2;	B9HDD8;		
L0JY00	L0JY00	unreviewed	L0JY00_9EURY	Putative membrane protein	Natoc_2123	Natronococcus occultus SP4	219	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Natrialbaceae (family), Natronococcus (genus), Natronococcus occultus (species)					Peptidase S54 family	WP_015321351.1;	L0JY00;		
B8HT35	B8HT35	unreviewed	B8HT35_CYAP4	Rhomboid family protein	Cyan7425_0440	Cyanothece sp. (strain PCC 7425 / ATCC 29141)	194	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Gomontiellales (order), Cyanothecaceae (family), Cyanothece (genus), unclassified Cyanothece (no rank)							B8HT35;		
A8KXY0	A8KXY0		A8KXY0_FRASN														
G4T7J1	G4T7J1	unreviewed	G4T7J1_SERID	Peptidase S54 rhomboid domain-containing protein	PIIN_01114	Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica)	203	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Sebacinales (order), Serendipitaceae (family), Serendipita (genus), Serendipita indica (species)					Peptidase S54 family		G4T7J1;		
R6PJS0	R6PJS0	unreviewed	R6PJS0_9BACT	Rhomboid family protein	BN637_01297	Prevotella sp. CAG:386	313	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Prevotellaceae (family), Prevotella (genus), unclassified Prevotella (no rank)							R6PJS0;		
H6RJC2	H6RJC2	unreviewed	H6RJC2_BLASD	Putative rhomboid protease	BLASA_0030	Blastococcus saxobsidens (strain DD2)	253	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Geodermatophilales (order), Geodermatophilaceae (family), Blastococcus (genus), Blastococcus saxobsidens (species)					Peptidase S54 family	WP_014373952.1;	H6RJC2;		
Q4FR55	Q4FR55	unreviewed	Q4FR55_PSYA2	Possible rhomboid family protein	Psyc_1655	Psychrobacter arcticus (strain DSM 17307 / VKM B-2377 / 273-4)	376	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Moraxellales (order), Moraxellaceae (family), Psychrobacter (genus), Psychrobacter arcticus (species)					Peptidase S54 family	WP_011280919.1;	Q4FR55;		
A0A0J8C2Y6	A0A0J8C2Y6		A0A0J8C2Y6_BETVU														
A0A0F0HU00	A0A0F0HU00	unreviewed	A0A0F0HU00_9PSEU	Peptidase S54 rhomboid domain-containing protein	UK12_13865	Saccharothrix sp. ST-888	297	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Saccharothrix (genus), unclassified Saccharothrix (no rank)					Peptidase S54 family	WP_045303224.1;	A0A0F0HU00;		
B1KGW1	B1KGW1	unreviewed	B1KGW1_SHEWM	Rhomboid family protein	Swoo_2553	Shewanella woodyi (strain ATCC 51908 / MS32)	202	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Shewanellaceae (family), Shewanella (genus), Shewanella woodyi (species)						WP_012325171.1;	B1KGW1;		
C4L3I7	C4L3I7	unreviewed	C4L3I7_EXISA	Rhomboid family protein	EAT1b_0553	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	350	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillales incertae sedis (no rank), Bacillales Family XII. Incertae Sedis (no rank), Exiguobacterium (genus), unclassified Exiguobacterium (no rank)					Peptidase S54 family	WP_012726604.1;	C4L3I7;		
D5UFI0	D5UFI0	unreviewed	D5UFI0_CELFN	Rhomboid family protein	Cfla_0019	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	238	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Cellulomonadaceae (family), Cellulomonas (genus), Cellulomonas flavigena (species)					Peptidase S54 family	WP_013115273.1;	D5UFI0;		
K9X5N3	K9X5N3	unreviewed	K9X5N3_9NOST	Putative membrane protein	Cylst_5991	Cylindrospermum stagnale PCC 7417	223	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Cylindrospermum (genus), Cylindrospermum stagnale (species)					Peptidase S54 family	WP_015211198.1;	K9X5N3;		
A4C1N4	A4C1N4	unreviewed	A4C1N4_9FLAO	Putative transmembrane rhomboid family protein	PI23P_11907	Polaribacter irgensii 23-P	244	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Polaribacter (genus), Polaribacter irgensii (species)					Peptidase S54 family	WP_004570997.1;	A4C1N4;		
T2KNF9	T2KNF9	unreviewed	T2KNF9_FORAG	Rhomboid family protein	BN863_22590	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	293	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Formosa (genus), Formosa agariphila (species)					Peptidase S54 family	WP_038530612.1;	T2KNF9;		
A0A0E9MMA7	A0A0E9MMA7	unreviewed	A0A0E9MMA7_9SPHN	Peptidase S54 family protein	SCH01S_16_01620	Sphingomonas changbaiensis NBRC 104936	209	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingomonas (genus), Sphingomonas changbaiensis (species)					Peptidase S54 family		A0A0E9MMA7;		
G8NTS1	G8NTS1	unreviewed	G8NTS1_GRAMM	Peptidase S54, rhomboid domain protein	AciX8_2065	Granulicella mallensis (strain ATCC BAA-1857 / DSM 23137 / MP5ACTX8)	284	cellular organisms (no rank), Bacteria (superkingdom), Acidobacteriota (phylum), Terriglobia (class), Terriglobales (order), Acidobacteriaceae (family), Granulicella (genus), Granulicella mallensis (species)					Peptidase S54 family		G8NTS1;		
K9S3I4	K9S3I4	unreviewed	K9S3I4_9CYAN	Rhomboid family protein	GEI7407_0248	Geitlerinema sp. PCC 7407	232	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Geitlerinematales (order), Geitlerinemataceae (family), Geitlerinema (genus), unclassified Geitlerinema (no rank)					Peptidase S54 family	WP_015170321.1;	K9S3I4;		
B1ZXP8	B1ZXP8	unreviewed	B1ZXP8_OPITP	Rhomboid family protein	Oter_0982	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	283	cellular organisms (no rank), Bacteria (superkingdom), PVC group (clade), Verrucomicrobiota (phylum), Opitutia (class), Opitutales (order), Opitutaceae (family), Opitutus (genus), Opitutus terrae (species)					Peptidase S54 family	WP_012373808.1;	B1ZXP8;		
I4VJI8	I4VJI8	unreviewed	I4VJI8_9GAMM	Peptidase S54 rhomboid domain-containing protein	UU9_16426	Rhodanobacter fulvus Jip2	217	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Rhodanobacteraceae (family), Rhodanobacter (genus), Rhodanobacter fulvus (species)					Peptidase S54 family	WP_007082907.1;	I4VJI8;		
A0A0A3X1L2	A0A0A3X1L2	unreviewed	A0A0A3X1L2_9GAMM	Rhombosortase	GW12_21170	Acinetobacter sp. HR7	192	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Moraxellales (order), Moraxellaceae (family), Acinetobacter (genus), unclassified Acinetobacter (no rank)						WP_034587434.1;	A0A0A3X1L2;		
D0BJH6	D0BJH6	unreviewed	D0BJH6_9LACT	Peptidase S54 rhomboid domain-containing protein	HMPREF0446_00111	Granulicatella elegans ATCC 700633	235	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Carnobacteriaceae (family), Granulicatella (genus), Granulicatella elegans (species)					Peptidase S54 family	WP_006702384.1;	D0BJH6;		
A9RDY0	A9RDY0		A9RDY0_PHYPA														
A0A0N0YX23	A0A0N0YX23		A0A0N0YX23_9ACTN														
A0A066VW66	A0A066VW66		A0A066VW66_9AGAM														
R7F5T7	R7F5T7		R7F5T7_9BACI														
D8LQJ6	D8LQJ6	unreviewed	D8LQJ6_ECTSI	Peptidase S54 rhomboid domain-containing protein	Esi_0006_0147	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	317	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), PX clade (clade), Phaeophyceae (class), Ectocarpales (order), Ectocarpaceae (family), Ectocarpus (genus)					Peptidase S54 family		D8LQJ6;		
B3E0Y8	B3E0Y8	unreviewed	B3E0Y8_METI4	Membrane associated serine protease	glpG Minf_2411	Methylacidiphilum infernorum (isolate V4) (Methylokorus infernorum (strain V4))	240	cellular organisms (no rank), Bacteria (superkingdom), PVC group (clade), Verrucomicrobiota (phylum), Methylacidiphilae (class), Methylacidiphilales (order), Methylacidiphilaceae (family), Methylacidiphilum (ex Ratnadevi et al. 2023) (genus), Candidatus Methylacidiphilum infernorum (species)						WP_012464745.1;	B3E0Y8;		
C7NYQ6	C7NYQ6	unreviewed	C7NYQ6_HALMD	Rhomboid family protein	Hmuk_2487	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	560	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Halomicrobium (genus), Halomicrobium mukohataei (species)						WP_015763437.1;	C7NYQ6;		
E1R4Q5	E1R4Q5	unreviewed	E1R4Q5_SEDSS	Rhomboid family protein	Spirs_3042	Sediminispirochaeta smaragdinae (strain DSM 11293 / JCM 15392 / SEBR 4228) (Spirochaeta smaragdinae)	185	cellular organisms (no rank), Bacteria (superkingdom), Spirochaetota (phylum), Spirochaetia (class), Spirochaetales (order), Spirochaetaceae (family), Sediminispirochaeta (genus), Sediminispirochaeta smaragdinae (species)						WP_013255602.1;	E1R4Q5;		
A0A0A2DQ27	A0A0A2DQ27	unreviewed	A0A0A2DQ27_9PORP	Membrane protein	JT26_09410	Porphyromonas sp. COT-108 OH1349	222	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Porphyromonadaceae (family), Porphyromonas (genus), unclassified Porphyromonas (no rank)						WP_036848916.1;	A0A0A2DQ27;		
A0A089X695	A0A089X695	unreviewed	A0A089X695_STRGA	Rhomboid family protein	SGLAU_17115	Streptomyces glaucescens	297	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)					Peptidase S54 family	WP_043502432.1;	A0A089X695;		
G4L2I7	G4L2I7		G4L2I7_TETHN														
K6XMU1	K6XMU1	unreviewed	K6XMU1_9ALTE	Peptidase S54 rhomboid domain-containing protein	GARC_5029	Paraglaciecola arctica BSs20135	189	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), Paraglaciecola (genus), Paraglaciecola arctica (species)						WP_007625481.1;	K6XMU1;		
R5WRK3	R5WRK3		R5WRK3_9FIRM														
C9R7J8	C9R7J8		C9R7J8_AGGAD														
B7RXV2	B7RXV2	unreviewed	B7RXV2_9GAMM	Peptidase, S54 (Rhomboid) family, putative	GPB2148_2013	marine gamma proteobacterium HTCC2148	288	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Halieaceae (family), unclassified Halieaceae (no rank)							B7RXV2;		
K7A216	K7A216	unreviewed	K7A216_9ALTE	Membrane protein, Rhomboid family	C427_2976	Paraglaciecola psychrophila 170	197	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), Paraglaciecola (genus), Paraglaciecola psychrophila (species)						WP_007635717.1;	K7A216;		
G7WPF8	G7WPF8	unreviewed	G7WPF8_METH6	Rhomboid family protein	Mhar_1801	Methanothrix harundinacea (strain 6Ac) (Methanosaeta harundinacea)	236	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanotrichales (order), Methanotrichaceae (family), Methanothrix (genus), Methanothrix harundinacea (species)						WP_014587339.1;	G7WPF8;		
H8MGJ7	H8MGJ7	unreviewed	H8MGJ7_CORCM	Rhomboid family protein	COCOR_03259	Corallococcus coralloides (strain ATCC 25202 / DSM 2259 / NBRC 100086 / M2) (Myxococcus coralloides)	669	cellular organisms (no rank), Bacteria (superkingdom), Myxococcota (phylum), Myxococcia (class), Myxococcales (order), Cystobacterineae (suborder), Myxococcaceae (family), Corallococcus (genus), Corallococcus coralloides (species)					Peptidase S54 family		H8MGJ7;		
A0A0H5C9N1	A0A0H5C9N1	unreviewed	A0A0H5C9N1_CYBJN	Rhomboid-type serine protease (EC 3.4.21.105)	RRP1 BN1211_5677	Cyberlindnera jadinii (strain ATCC 18201 / CBS 1600 / BCRC 20928 / JCM 3617 / NBRC 0987 / NRRL Y-1542) (Torula yeast) (Candida utilis)	426	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Phaffomycetales (order), Phaffomycetaceae (family), Cyberlindnera (genus), Cyberlindnera jadinii (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A0H5C9N1;		
A0JQU4	A0JQU4	unreviewed	A0JQU4_ARTS2	Rhomboid family protein	Arth_0013	Arthrobacter sp. (strain FB24)	293	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Micrococcaceae (family), Arthrobacter (genus), unclassified Arthrobacter (no rank)					Peptidase S54 family	WP_011689884.1;	A0JQU4;		
W5CMC8	W5CMC8		W5CMC8_WHEAT														
I2K7A1	I2K7A1	unreviewed	I2K7A1_9BACT	Peptidase S54 rhomboid domain-containing protein	SULAR_07038	Sulfurovum sp. AR	226	cellular organisms (no rank), Bacteria (superkingdom), Campylobacterota (phylum), Epsilonproteobacteria (class), Campylobacterales (order), Sulfurovaceae (family), Sulfurovum (genus), unclassified Sulfurovum (no rank)							I2K7A1;		
A0A0G3HIJ5	A0A0G3HIJ5	unreviewed	A0A0G3HIJ5_9CORY	Putative membrane protein	CUTER_08870	Corynebacterium uterequi	238	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)							A0A0G3HIJ5;		
G2IIG0	G2IIG0	unreviewed	G2IIG0_SPHSK	Rhomboid-family protein	SLG_24080	Sphingobium sp. (strain NBRC 103272 / SYK-6)	225	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingobium (genus), unclassified Sphingobium (no rank)							G2IIG0;		
A0A0G3H9M0	A0A0G3H9M0	unreviewed	A0A0G3H9M0_9CORY	Putative membrane protein	CUTER_00180	Corynebacterium uterequi	215	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Corynebacteriaceae (family), Corynebacterium (genus)					Peptidase S54 family		A0A0G3H9M0;		
A1SZR0	A1SZR0	unreviewed	A1SZR0_PSYIN	Rhomboid family protein	Ping_3288	Psychromonas ingrahamii (strain DSM 17664 / CCUG 51855 / 37)	188	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Psychromonadaceae (family), Psychromonas (genus), Psychromonas ingrahamii (species)					Peptidase S54 family	WP_011771527.1;	A1SZR0;		
A0A0F6AHW4	A0A0F6AHW4	unreviewed	A0A0F6AHW4_9GAMM	GlpG protein	N479_05020	Pseudoalteromonas luteoviolacea S4054	274	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Pseudoalteromonadaceae (family), Pseudoalteromonas (genus), Pseudoalteromonas luteoviolacea (species)					Peptidase S54 family	WP_046354446.1;	A0A0F6AHW4;		
W4FXI3	W4FXI3	unreviewed	W4FXI3_APHAT	rhomboid protease (EC 3.4.21.105)	H257_13364	Aphanomyces astaci (Crayfish plague agent)	262	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniales (order), Saprolegniaceae (family), Aphanomyces (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_009839162.1;	W4FXI3;		
