Seq_ID,Protein_names,Protein_families,superkingdom,kingdom,phylum,class,order,family,genus,species,Uniprot_Entry,Gene_Names,Organism,Length,EC_number,RefSeq,AlphaFoldDB,PDB
D4YQM9_9MICO,"Peptidase, S54 family (EC 3.4.21.-)",Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacteriummcbrellneri,D4YQM9,HMPREF0183_2239,BrevibacteriummcbrellneriATCC49030,228,3.4.21.-,WP_005886068.1;,D4YQM9;,
S5V187_STRC3,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomycescollinus,S5V187,B446_10610,Streptomycescollinus(strainDSM40733/Tue365),306,,WP_020939418.1;,S5V187;,
A0A0M3K0H3_ANISI,Rhomboid-like protein,Peptidase S54 family,Eukaryota,Metazoa,Nematoda,Chromadorea,Ascaridomorpha,Anisakidae,Anisakis,,A0A0M3K0H3,ASIM_LOCUS13738,Anisakissimplex(Herringworm),378,,,,
C3YWC8_BRAFL,rhomboid protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Metazoa,Cephalochordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma,,C3YWC8,BRAFLDRAFT_118864,Branchiostomafloridae(Floridalancelet)(Amphioxus),309,3.4.21.105,XP_002599160.1;,C3YWC8;,
A6CC82_9PLAN,,,,,,,,,,,A6CC82,,,,,,,
T1KSQ1_TETUR,EF-hand domain-containing protein,Peptidase S54 family,Eukaryota,Metazoa,Chelicerata,Acari,Eleutherengona,Tetranychidae,Tetranychus,,T1KSQ1,107367105,Tetranychusurticae(Two-spottedspidermite),373,,XP_015790266.1;XP_015790267.1;XP_015790268.1;XP_015790269.1;XP_015790270.1;XP_015790271.1;XP_015790272.1;,T1KSQ1;,
A0A0A7EHK2_9GAMM,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,A0A0A7EHK2,OM33_13615,Pseudoalteromonaspiratica,360,,WP_038642473.1;,A0A0A7EHK2;,
T1JDI7_STRMM,EF-hand domain-containing protein,Peptidase S54 family,Eukaryota,Metazoa,Myriapoda,Pleurostigmophora,Geophilomorpha,Linotaeniidae,Strigamia,,T1JDI7,,Strigamiamaritima(Europeancentipede)(Geophilusmaritimus),313,,,T1JDI7;,
F8DBT3_HALXS,Rhomboid family protein,,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Halopiger,Halopigerxanaduensis,F8DBT3,Halxa_4107,Halopigerxanaduensis(strainDSM18323/JCM14033/SH-6),314,,,F8DBT3;,
A0A0B7MPS4_9FIRM,Rhomboid family protein,,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,ThermoanaerobacteralesFamilyIII.IncertaeSedis,Syntrophaceticus,,A0A0B7MPS4,SSCH_570015,Syntrophaceticusschinkii,225,,WP_044665592.1;,A0A0B7MPS4;,
G1XHB5_ARTOA,Rhomboid-type serine protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Dikarya,Pezizomycotina,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbiliaoligospora,G1XHB5,AOL_s00083g396,Arthrobotrysoligospora(strainATCC24927/CBS115.81/DSM1491)(Nematode-trappingfungus)(Didymozoophagaoligospora),482,3.4.21.105,XP_011123877.1;,G1XHB5;,
Q07W48_SHEFN,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanellafrigidimarina,Q07W48,Sfri_3941,Shewanellafrigidimarina(strainNCIMB400),283,,WP_011639350.1;,Q07W48;,
R6NCS4_9FIRM,,,,,,,,,,,R6NCS4,,,,,,,
B6IUS5_RHOCS,Rhomboid family membrane protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillumcentenum,B6IUS5,RC1_2632,Rhodospirillumcentenum(strainATCC51521/SW),234,,WP_012567788.1;,B6IUS5;,
Q18KT2_HALWD,Rhomboid family protease (EC 3.4.21.105),Peptidase S54 family,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloquadratum,Haloquadratumwalsbyi,Q18KT2,HQ_1233A,Haloquadratumwalsbyi(strainDSM16790/HBSQ001),306,3.4.21.105,WP_011570523.1;,Q18KT2;,
Q9HS82_HALSA,Rhomboid family protease (EC 3.4.21.105),,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacteriumsalinarum,Q9HS82,VNG_0361C,Halobacteriumsalinarum(strainATCC700922/JCM11081/NRC-1)(Halobacteriumhalobium),333,3.4.21.105,WP_010902221.1;,Q9HS82;,
A0A0G4J164_PLABS,rhomboid protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Eukaryota,Endomyxa,Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Plasmodiophora,,A0A0G4J164,PBRA_001838PLBR_LOCUS8488,Plasmodiophorabrassicae(Clubrootdiseaseagent),285,3.4.21.105,,A0A0G4J164;,
A0A0D2V5N6_GOSRA,RHOMBOID-like protein (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Magnoliopsida,Malvales,Malvoideae,Gossypium,,A0A0D2V5N6,B456_010G045800,Gossypiumraimondii(Peruviancotton)(Gossypiumklotzschianumsubsp.raimondii),387,3.4.21.105,XP_012449065.1;,A0A0D2V5N6;,
A0A075JKW0_9BACI,S54 family peptidase,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedVirgibacillus,Bacillales,Bacillaceae,Virgibacillus,,A0A075JKW0,X953_02985,Virgibacillussp.SK37,257,,WP_040954275.1;,A0A075JKW0;,
H3AZ74_LATCH,Rhomboid domain containing 1,,Eukaryota,Metazoa,Craniata,Sarcopterygii,Coelacanthiformes,Coelacanthidae,Latimeria,,H3AZ74,RHBDD1,Latimeriachalumnae(Coelacanth),318,,XP_005993100.1;XP_005993101.1;XP_005993102.1;XP_005993103.1;XP_014342165.1;XP_014342166.1;XP_014342167.1;,,
A9CIP3_AGRFC,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacteriumfabrum,A9CIP3,Atu1753,Agrobacteriumfabrum(strainC58/ATCC33970)(Agrobacteriumtumefaciens(strainC58)),245,,NP_354738.1;WP_010971843.1;,A9CIP3;,
W8S1H5_9RHOB,Rhomboid family serine protease,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseibacterium,Roseibacteriumelongatum,W8S1H5,roselon_00123,RoseibacteriumelongatumDSM19469,285,,WP_025310522.1;,W8S1H5;,
A0A0G0I2L9_9BACT,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacteria,CandidatusBerkelbacteria,,,,,,A0A0G0I2L9,US31_C0004G0091,BerkelbacteriabacteriumGW2011_GWA1_36_9,236,,,A0A0G0I2L9;,
D7GDW2_PROFC,Hypothetical membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacteriumfreudenreichiisubsp.shermanii,D7GDW2,PFREUD_12010,Propionibacteriumfreudenreichiisubsp.shermanii(strainATCC9614/DSM4902/CIP103027/NCIMB8099/CIRM-BIA1),205,,,D7GDW2;,
B0RH80_CLASE,Rhomboid family membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter,,B0RH80,yggPCMS0012,Clavibactersepedonicus(Clavibactermichiganensissubsp.sepedonicus),287,,WP_012297506.1;,,
H1S050_9BURK,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidusbasilensis,H1S050,OR16_04802,CupriavidusbasilensisOR16,211,,WP_006156763.1;,H1S050;,
A0A0F3FWT8_9LACO,,,,,,,,,,,A0A0F3FWT8,,,,,,,
K7SN11_ACIA4,"Peptidase, S54 family protein",Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacteriumacidipropionici,K7SN11,PACID_28280,Acidipropionibacteriumacidipropionici(strainATCC4875/DSM20272/JCM6432/NBRC12425/NCIMB8070/4)(Propionibacteriumacidipropionici),229,,,K7SN11;,
A0A0N0I027_9ACTN,,,,,,,,,,,A0A0N0I027,,,,,,,
A0A0F7M312_9GAMM,Putative membrane protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,unclassifiedSpongiibacter,Cellvibrionales,Spongiibacteraceae,Spongiibacter,,A0A0F7M312,IMCC21906_01791,Spongiibactersp.IMCC21906,287,,WP_047011862.1;,A0A0F7M312;,
A0A0D2NQY2_GOSRA,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Magnoliopsida,Malvales,Malvoideae,Gossypium,,A0A0D2NQY2,B456_002G210100,Gossypiumraimondii(Peruviancotton)(Gossypiumklotzschianumsubsp.raimondii),268,,,A0A0D2NQY2;,
G7IUV4_MEDTR,RHOMBOID-like protein (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Magnoliopsida,Fabales,Papilionoideae,Medicago,,G7IUV4,11436369MTR_2g103600MtrunA17_Chr2g0332941,Medicagotruncatula(Barrelmedic)(Medicagotribuloides),316,3.4.21.105,XP_003597882.2;,G7IUV4;,
C8X2H0_DESRD,Rhomboid family protein,,Bacteria,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobiumretbaense,C8X2H0,Dret_1329,Desulfohalobiumretbaense(strainATCC49708/DSM5692/JCM16813/HR100),317,,WP_015751764.1;,C8X2H0;,
Q92QB8_RHIME,Hypothetical transmembrane protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Rhizobiummeliloti,Q92QB8,SMc01001,Rhizobiummeliloti(strain1021)(Ensifermeliloti)(Sinorhizobiummeliloti),243,,NP_385522.1;WP_003534691.1;,Q92QB8;,
B3DVM5_METI4,Membrane associated serine protease,,Bacteria,Bacteria,Verrucomicrobiota,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,CandidatusMethylacidiphiluminfernorum,B3DVM5,glpGMinf_1324,Methylacidiphiluminfernorum(isolateV4)(Methylokorusinfernorum(strainV4)),230,,WP_012463660.1;,B3DVM5;,
C5D4N6_GEOSW,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedGeobacillus,Bacillales,Bacillaceae,Geobacillus,,C5D4N6,GWCH70_2381,Geobacillussp.(strainWCH70),389,,,C5D4N6;,
S0GNM0_9BACT,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroidesgoldsteinii,S0GNM0,C803_03056,ParabacteroidesgoldsteiniidnLKV18,236,,WP_007655129.1;,S0GNM0;,
A0A0F2SF62_9FIRM,Peptidase S54,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedPeptococcaceae,Eubacteriales,Peptococcaceae,,,A0A0F2SF62,VR66_07315,PeptococcaceaebacteriumBRH_c23,313,,,A0A0F2SF62;,
R7ACP5_9CLOT,,,,,,,,,,,R7ACP5,,,,,,,
L9JC92_TUPCH,rhomboid protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Metazoa,Craniata,Mammalia,Scandentia,Tupaiidae,Tupaia,,L9JC92,TREES_T100000912,Tupaiachinensis(Chinesetreeshrew),301,3.4.21.105,,L9JC92;,
B4R353_DROSI,GD17034,Peptidase S54 family,Eukaryota,Metazoa,Hexapoda,Neoptera,Muscomorpha,Drosophilinae,Sophophora,,B4R353,Dsim\GD17034Dsim_GD17034,Drosophilasimulans(Fruitfly),382,,,B4R353;,
L1I841_GUITC,Peptidase S54 rhomboid domain-containing protein,,Eukaryota,Eukaryota,,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Guillardia,Guillardiatheta,L1I841,GUITHDRAFT_166710,Guillardiatheta(strainCCMP2712)(Cryptophyte),353,,XP_005819406.1;,L1I841;,
A0A0F3GU17_9BACT,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,CandidatusMagnetobacteriaceae,CandidatusMagnetobacterium,,A0A0F3GU17,MBAV_002498,CandidatusMagnetobacteriumbavaricum,442,,,A0A0F3GU17;,
R6Z6D4_9CLOT,Peptidase S54 family,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedClostridium,Eubacteriales,Clostridiaceae,Clostridium,,R6Z6D4,BN593_00065,Clostridiumsp.CAG:299,202,,,R6Z6D4;,
G8TCE1_NIAKG,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastellakoreensis,G8TCE1,Niako_5211,Niastellakoreensis(strainDSM17620/KACC11465/NBRC106392/GR20-10),258,,WP_014221359.1;,G8TCE1;,
R7HTI7_9CLOT,Uncharacterized membrane protein (Homolog of Drosophila rhomboid),,Bacteria,Bacillati,Bacillota,unclassifiedClostridium,Eubacteriales,Clostridiaceae,Clostridium,,R7HTI7,BN648_01376,Clostridiumsp.CAG:411,193,,,R7HTI7;,
A0A078ED55_BRANA,,,,,,,,,,,A0A078ED55,,,,,,,
E4ZQ66_LEPMJ,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Dikarya,Pezizomycotina,Pleosporomycetidae,Pleosporineae,Leptosphaeriaceae,Plenodomus,Leptosphaeriamaculans,E4ZQ66,LEMA_P124660.1,Leptosphaeriamaculans(strainJN3/isolatev23.1.3/raceAv1-4-5-6-7-8)(Blacklegfungus)(Phomalingam),375,,XP_003836990.1;,E4ZQ66;,
E8N925_MICTS,Uncharacterized membrane protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,Microbacteriumtestaceum,E8N925,MTES_1497,Microbacteriumtestaceum(strainStLB037),258,,,E8N925;,
I0Z3K7_COCSC,Rhomboid-domain-containing protein,Peptidase S54 family,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,,,Coccomyxa,Coccomyxasubellipsoidea,I0Z3K7,COCSUDRAFT_40539,Coccomyxasubellipsoidea(strainC-169)(Greenmicroalga),278,,XP_005649770.1;,I0Z3K7;,
L0AIG2_NATGS,Membrane protein (Rhomboid family intramembrane serine protease),,Archaea,Methanobacteriati,Methanobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natronobacterium,Natronobacteriumgregoryi,L0AIG2,Natgr_2046CYV19_03505,Natronobacteriumgregoryi(strainATCC43098/DSM3393/CCM3738/CIP104747/IAM13177/JCM8860/NBRC102187/NCIMB2189/SP2),319,,WP_015233533.1;,L0AIG2;,
R6GS10_9FIRM,YqgP,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedBacillota,,,,,R6GS10,BN721_00622,FirmicutesbacteriumCAG:582,371,,,R6GS10;,
A0A0D6A2J5_9LACO,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,A0A0D6A2J5,LBAT_0572,Lactobacillusacetotolerans,205,,,A0A0D6A2J5;,
A0A0M2VAF5_9GAMM,Protease,,Bacteria,Bacteria,Pseudomonadota,unclassifiedArsukibacterium,Chromatiales,Chromatiaceae,Arsukibacterium,,A0A0M2VAF5,VT06_14425,Arsukibacteriumsp.MJ3,199,,WP_046555032.1;,A0A0M2VAF5;,
G8TDG2_NIAKG,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastellakoreensis,G8TDG2,Niako_4136,Niastellakoreensis(strainDSM17620/KACC11465/NBRC106392/GR20-10),212,,WP_014220324.1;,G8TDG2;,
R7YPX3_CONA1,Rhomboid-type serine protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Dikarya,Pezizomycotina,Dothideomycetes,,,Coniosporium,Coniosporiumapollinis,R7YPX3,W97_03176,Coniosporiumapollinis(strainCBS100218)(Rock-inhabitingblackyeast),535,3.4.21.105,XP_007779264.1;,R7YPX3;,
C2D539_LACBR,,,,,,,,,,,C2D539,,,,,,,
E2CM51_9HYPH,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,unclassifiedRoseibium,Hyphomicrobiales,Stappiaceae,Roseibium,,E2CM51,TRICHSKD4_4195,Roseibiumsp.TrichSKD4,251,,WP_009468449.1;,E2CM51;,
A0A0K8P5I4_PISS1,Putative transmembrane protein,,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Piscinibacter,,A0A0K8P5I4,ISF6_3719,Piscinibactersakaiensis(Ideonellasakaiensis),206,,WP_054021688.1;,A0A0K8P5I4;,
K0YP55_9ACTO,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Winkia,Winkianeuii,K0YP55,HMPREF9240_01748,WinkianeuiiBV029A5,251,,WP_004808091.1;,K0YP55;,
E3HJY3_ACHXA,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Alcaligenesxylosoxydansxylosoxydans,E3HJY3,AXYL_02284,Achromobacterxylosoxidans(strainA8),425,,,E3HJY3;,
K9YKS9_CYASC,Rhomboid family protein,,Bacteria,Bacillati,Cyanobacteriota,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacteriumstanieri,K9YKS9,Cyast_1517,Cyanobacteriumstanieri(strainATCC29140/PCC7202),192,,,K9YKS9;,
Q1D3H7_MYXXD,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Myxococcota,Myxococcia,Cystobacterineae,Myxococcaceae,Myxococcus,Myxococcusxanthus,Q1D3H7,MXAN_4630,Myxococcusxanthus(strainDK1622),217,,,Q1D3H7;,
M9R3L5_9RHOB,Putative rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Octadecabacter,Octadecabacterantarcticus,M9R3L5,OAN307_c11140,Octadecabacterantarcticus307,224,,,M9R3L5;,
U4KFR7_9VIBR,"Putative Peptidase S54, rhomboid",,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,U4KFR7,VIBNI_A3733,Vibrionigripulchritudo,278,,WP_022552079.1;,U4KFR7;,
D3Q268_STANL,Rhomboid family protein,,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtianassauensis,D3Q268,Snas_2245,Stackebrandtianassauensis(strainDSM44728/CIP108903/NRRLB-16338/NBRC102104/LLR-40K-21),208,,WP_013017506.1;,D3Q268;,
F8A236_CELGA,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonasgilvus,F8A236,Celgi_0022,Cellulomonasgilvus(strainATCC13127/NRRLB-14078)(Cellvibriogilvus),299,,,F8A236;,
A0A0M2PZ22_PROHO,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Prochlorotrichales,Prochlorotrichaceae,Prochlorothrix,Prochlorothrixhollandica,A0A0M2PZ22,PROH_07030,ProchlorothrixhollandicaPCC9006=CALU1027,292,,WP_026099194.1;,A0A0M2PZ22;,
A9A653_NITMS,Rhomboid family protein,,Archaea,Thermoproteati,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilusmaritimus,A9A653,Nmar_1635,Nitrosopumilusmaritimus(strainSCM1),252,,,A9A653;,
A0A0D2TC11_GOSRA,RHOMBOID-like protein (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Magnoliopsida,Malvales,Malvoideae,Gossypium,,A0A0D2TC11,B456_008G244200,Gossypiumraimondii(Peruviancotton)(Gossypiumklotzschianumsubsp.raimondii),297,3.4.21.105,,A0A0D2TC11;,
A5WC76_PSYWF,Rhomboid family protein,,Bacteria,Bacteria,Pseudomonadota,unclassifiedPsychrobacter,Moraxellales,Moraxellaceae,Psychrobacter,,A5WC76,PsycPRwf_0312,Psychrobactersp.(strainPRwf-1),206,,,A5WC76;,
K9Y6T9_HALP7,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Cyanobacteriota,unclassifiedHalothece,Chroococcales,Halothecacae,Halothece,,K9Y6T9,PCC7418_0303,Halothecesp.(strainPCC7418)(Synechococcussp.(strainPCC7418)),528,,WP_015224417.1;,K9Y6T9;,
N8TQD1_ACIGI,,,,,,,,,,,N8TQD1,,,,,,,
Q2S4R0_SALRD,"Peptidase, S54 (Rhomboid) family, putative (EC 3.4.21.-)",,Bacteria,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacterruber,Q2S4R0,SRU_0683,Salinibacterruber(strainDSM13855/M31),282,3.4.21.-,YP_444821.1;,Q2S4R0;,
D0LG54_HALO1,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Myxococcota,Polyangia,Haliangiales,Kofleriaceae,Haliangium,Haliangiumochraceum,D0LG54,Hoch_5597,Haliangiumochraceum(strainDSM14365/JCM11303/SMP-2),371,,WP_012830671.1;,D0LG54;,
G8X9Q6_FLACA,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacteriumcolumnare,G8X9Q6,FCOL_12265,Flavobacteriumcolumnare(strainATCC49512/CIP103533/TG44/87),246,,WP_014166515.1;,G8X9Q6;,
A0A0M2S0D4_9ACTN,Protease,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,unclassifiedMicromonospora,Micromonosporales,Micromonosporaceae,Micromonospora,,A0A0M2S0D4,LQ51_15880,Micromonosporasp.HK10,314,,WP_046567742.1;,A0A0M2S0D4;,
S4HLW1_GARVA,,,,,,,,,,,S4HLW1,,,,,,,
A0A098ETY6_9BACI,Serine peptidase,Peptidase S54 family,Bacteria,Bacillati,Bacillota,unclassifiedBacillus,Bacillales,Bacillaceae,Bacillus,,A0A098ETY6,ydcABN1002_00151,Bacillussp.B-jedd,194,,WP_048823132.1;,A0A098ETY6;,
W9SBH9_9ROSA,E3 ubiquitin-protein ligase RING1,Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Magnoliopsida,Rosales,Moraceae,Morus,,W9SBH9,L484_024195,Morusnotabilis,616,,XP_010103892.1;,W9SBH9;,
G6FWR4_9CYAN,"Peptidase S54, rhomboid domain protein",,Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Fischerella,Fischerellathermalis,G6FWR4,FJSC11DRAFT_3313,FischerellathermalisJSC-11,236,,WP_009458303.1;,G6FWR4;,
R5JDX1_9BACE,Peptidase S54 rhomboid domain-containing protein,,Bacteria,Bacteria,Bacteroidota,unclassifiedBacteroides,Bacteroidales,Bacteroidaceae,Bacteroides,,R5JDX1,BN523_01011,Bacteroidessp.CAG:189,233,,,R5JDX1;,
G0QZU3_ICHMU,Rhomboid-like protease (EC 3.4.21.105),Peptidase S54 family,Eukaryota,Eukaryota,Intramacronucleata,Oligohymenophorea,Ophryoglenina,,Ichthyophthirius,,G0QZU3,IMG5_159910,Ichthyophthiriusmultifiliis(Whitespotdiseaseagent)(Ich),305,3.4.21.105,XP_004030499.1;,G0QZU3;,
A0A0A1GT39_9LACO,Membrane protein,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,Paucilactobacillushokkaidonensis,A0A0A1GT39,LOOC260_109320,PaucilactobacillushokkaidonensisJCM18461,223,,WP_052467292.1;,A0A0A1GT39;,
J9W5S6_LENBU,Membrane-associated serine protease,Peptidase S54 family,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillusbuchnerisubsp.silagei,J9W5S6,LBUCD034_1302,Lentilactobacillusbuchnerisubsp.silageiCD034,220,,WP_014940022.1;,J9W5S6;,
H5WZN6_9PSEU,Putative membrane protein,,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonosporamarina,H5WZN6,SacmaDRAFT_2525,SaccharomonosporamarinaXMU15,236,,WP_009154153.1;,H5WZN6;,
K2P7Z8_9HYPH,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Bacteria,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacteriumalbertimagni,K2P7Z8,QWE_22276,AgrobacteriumalbertimagniAOL15,258,,WP_006728440.1;,K2P7Z8;,
B3EQD2_CHLPB,Rhomboid family protein,,Bacteria,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobiumphaeobacteroides,B3EQD2,Cphamn1_2536,Chlorobiumphaeobacteroides(strainBS1),273,,,B3EQD2;,
A0A0E0B3S9_9ORYZ,Peptidase S54 rhomboid domain-containing protein,Peptidase S54 family,Eukaryota,Viridiplantae,Streptophytina,Petrosaviidae,Poales,Oryzoideae,Oryza,,A0A0E0B3S9,,Oryzaglumipatula,328,,,,
R5MUR4_9MOLU,Peptidase S54 (Rhomboid) family protein,Peptidase S54 family,Bacteria,Bacillati,Mycoplasmatota,unclassifiedMycoplasma,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,R5MUR4,BN817_00642,Mycoplasmasp.CAG:956,374,,,R5MUR4;,
D6M388_STRSH,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacillati,Actinomycetota,unclassifiedStreptomyces,Kitasatosporales,Streptomycetaceae,Streptomyces,,D6M388,SSBG_05764,Streptomycessp.(strainSPB074),338,,WP_008746833.1;,D6M388;,
I2GSI1_9BACT,Rhomboid family protein,Peptidase S54 family,Bacteria,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Fibrisoma,Fibrisomalimi,I2GSI1,BN8_06249,FibrisomalimiBUZ3,206,,WP_009285421.1;,I2GSI1;,
I1DSX7_9GAMM,GlpG protein,,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimerananhaiensis,I1DSX7,glpGRNAN_0118,RheinheimerananhaiensisE407-8,273,,WP_008217657.1;,I1DSX7;,
