From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	EC number	Active site	Binding site	Catalytic activity	Gene Ontology (GO)	3D	Protein families	RefSeq	AlphaFoldDB	PDB	Pfam
A0A3N2DHI0	A0A3N2DHI0	unreviewed	A0A3N2DHI0_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	EDC56_3079	Sinobacterium caligoides	169	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Spongiibacteraceae (family), Sinobacterium (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A3N2DHI0;		PF00186;
A0A081N2B2	A0A081N2B2	unreviewed	A0A081N2B2_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	GZ77_18950	Endozoicomonas montiporae	168	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Endozoicomonadaceae (family), Endozoicomonas (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_034877942.1;	A0A081N2B2;		PF00186;
A0A7D3XSW3	A0A7D3XSW3	unreviewed	A0A7D3XSW3_9BACL	Dihydrofolate reductase (EC 1.5.1.3)	GXN76_13375	Kroppenstedtia pulmonis	159	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Thermoactinomycetaceae (family), Kroppenstedtia (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A7D3XSW3;		PF00186;
G2FFZ8	G2FFZ8	unreviewed	G2FFZ8_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	TevJSym_ao00170	endosymbiont of Tevnia jerichonana (vent Tica)	166	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), sulfur-oxidizing symbionts (clade), endosymbiont of Tevnia jerichonana (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_005958646.1;	G2FFZ8;		PF00186;
A0A2P6MGY5	A0A2P6MGY5	unreviewed	A0A2P6MGY5_ALKUR	Dihydrofolate reductase (EC 1.5.1.3)	C6I21_08390	Alkalicoccus urumqiensis (Bacillus urumqiensis)	170	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Alkalicoccus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A2P6MGY5;		PF00186;
A0A0U2UYI1	A0A0U2UYI1	unreviewed	A0A0U2UYI1_9BACL	Dihydrofolate reductase (EC 1.5.1.3)	IJ21_25840	Paenibacillus sp. 32O-W	161	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Paenibacillus (genus), unclassified Paenibacillus (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_062492943.1;	A0A0U2UYI1;		PF00186;
A0A4V2RQX3	A0A4V2RQX3	unreviewed	A0A4V2RQX3_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	CLV25_101402	Acetobacteroides hydrogenigenes	161	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Rikenellaceae (family), Acetobacteroides (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A4V2RQX3;		PF00186;
A0A6C0U108	A0A6C0U108	unreviewed	A0A6C0U108_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	G3T16_08725	Kineobactrum salinum	168	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Cellvibrionales (order), Halieaceae (family), Kineobactrum (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A6C0U108;		PF00186;
A0A1M4U2M5	A0A1M4U2M5	unreviewed	A0A1M4U2M5_9FLAO	Dihydrofolate reductase (EC 1.5.1.3)	SAMN05444278_102155	Psychroflexus salarius	163	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Psychroflexus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_073192170.1;	A0A1M4U2M5;		PF00186;
Q63S46	Q63S46	unreviewed	Q63S46_BURPS	Dihydrofolate reductase (EC 1.5.1.3)	BPSL2476	Burkholderia pseudomallei (strain K96243)	167	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Burkholderiaceae (family), Burkholderia (genus), pseudomallei group (no rank), Burkholderia pseudomallei (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_004189313.1;YP_109071.1;	Q63S46;		PF00186;
L8JXP3	L8JXP3	unreviewed	L8JXP3_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	C900_02640	Fulvivirga imtechensis AK7	162	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Fulvivirgaceae (family), Fulvivirga (genus), Fulvivirga imtechensis (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		L8JXP3;		PF00186;
Q5R038	Q5R038	unreviewed	Q5R038_IDILO	Dihydrofolate reductase (EC 1.5.1.3)	folA IL0478	Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR)	166	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Idiomarinaceae (family), Idiomarina (genus), Idiomarina loihiensis (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_011233739.1;	Q5R038;		PF00186;
A0A074MGN0	A0A074MGN0	unreviewed	A0A074MGN0_9BACL	Dihydrofolate reductase (EC 1.5.1.3)	EL26_02405	Tumebacillus flagellatus	156	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Alicyclobacillaceae (family), Tumebacillus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_038084031.1;	A0A074MGN0;		PF00186;
A0A221MD44	A0A221MD44	unreviewed	A0A221MD44_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	CFK40_11315	Virgibacillus necropolis	163	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Virgibacillus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A221MD44;		PF00186;
A0A2S1H199	A0A2S1H199	unreviewed	A0A2S1H199_9BACI	Dihydrofolate reductase (EC 1.5.1.3)	DCE79_08615	Lysinibacillus sp. 2017	157	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Lysinibacillus (genus), unclassified Lysinibacillus (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A2S1H199;		PF00186;
A0A7Y7DKC9	A0A7Y7DKC9	unreviewed	A0A7Y7DKC9_9ALTE	Dihydrofolate reductase (EC 1.5.1.3)	folA HWE26_06190	Alteromonadaceae bacterium	162	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), unclassified Alteromonadaceae (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A7Y7DKC9;		PF00186;
A0A1H4G096	A0A1H4G096	unreviewed	A0A1H4G096_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	SAMN05660909_04822	Chitinophaga terrae (ex Kim and Jung 2007)	163	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Chitinophagia (class), Chitinophagales (order), Chitinophagaceae (family), Chitinophaga (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A1H4G096;		PF00186;
A0A316AA59	A0A316AA59	unreviewed	A0A316AA59_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	CLV98_11851	Dyadobacter jejuensis	163	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Spirosomataceae (family), Dyadobacter (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A316AA59;		PF00186;
A0A248KKT7	A0A248KKT7	unreviewed	A0A248KKT7_9ENTR	Dihydrofolate reductase (EC 1.5.1.3)	folA CEW81_20860	Kluyvera genomosp. 3	159	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Kluyvera (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A248KKT7;		PF00186;
A0A4U8VJ17	A0A4U8VJ17	unreviewed	A0A4U8VJ17_9BURK	Dihydrofolate reductase (EC 1.5.1.3)	MW7_001820	Burkholderiaceae bacterium PBA	167	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Burkholderiaceae (family), unclassified Burkholderiaceae (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A4U8VJ17;		PF00186;
A0A269PR58	A0A269PR58	unreviewed	A0A269PR58_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	CJF42_08135	Pseudoalteromonas sp. NBT06-2	161	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Pseudoalteromonadaceae (family), Pseudoalteromonas (genus), unclassified Pseudoalteromonas (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; kinase activity [GO:0016301]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A269PR58;		PF00186;
E3DLF6	E3DLF6	unreviewed	E3DLF6_HALPG	Dihydrofolate reductase (EC 1.5.1.3)	Hprae_1042	Halanaerobium praevalens (strain ATCC 33744 / DSM 2228 / GSL)	170	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Halanaerobiales (order), Halanaerobiaceae (family), Halanaerobium (genus), Halanaerobium praevalens (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_014553228.1;	E3DLF6;		PF00186;
A0A1A5XP82	A0A1A5XP82		A0A1A5XP82_9BACL	deleted															
A0A0S1SEX1	A0A0S1SEX1	unreviewed	A0A0S1SEX1_9FLAO	Dihydrofolate reductase (EC 1.5.1.3)	SB49_15090	Sediminicola sp. YIK13	166	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Sediminicola (genus), unclassified Sediminicola (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; kinase activity [GO:0016301]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_062058315.1;	A0A0S1SEX1;		PF00186;
A0A7Y8Y514	A0A7Y8Y514	unreviewed	A0A7Y8Y514_9FLAO	Dihydrofolate reductase (EC 1.5.1.3)	HZF10_16725	Flavobacterium agri	160	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Flavobacterium (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A7Y8Y514;		PF00186;
